
Similarity
Label,n,MF22-22,MF22-21,MF22-16,MF22-19,MF22-18,MF22-1,"Sierra magmatic (Chapman et al., 2012)",Great Valley Group (Sharman et al. 2015),"Franciscan Complex (Bero et al., 2020)",Franciscan Complex (Prohoroff et al. 2012),Franciscan Complex (Snow et al. 2010),Franciscan Complex (Apen et al. 2021)
MF22-22,296,0.9709961925724387,0.9506793416573474,0.933003463745449,0.8979885571318652,0.9454814944909089,0.9088459862382473,0.9042592326245552,0.908398217897039,0.8878910083936891,0.8211258226198703,0.8390893754993605,0.8324964804158331
MF22-21,266,0.9506793416573474,0.9976929098315943,0.9409756190921872,0.9078308176060113,0.9467892879054688,0.9425696183464195,0.9374355520909442,0.9523078946877208,0.927836263279639,0.8784865003928234,0.8898801368409921,0.8865510633169142
MF22-16,370,0.933003463745449,0.9409756190921872,0.9961716077633381,0.9221499677322391,0.9611977394715344,0.9301473209684163,0.9231586473630222,0.9011182594097488,0.8652175442926646,0.7874024401278105,0.8461900431647016,0.7719284400187801
MF22-19,76,0.8979885571318652,0.9078308176060113,0.9221499677322391,0.998413782688,0.9197745487972664,0.9033718814266049,0.888501824152726,0.8732953031644537,0.8255078776739423,0.7610131274232012,0.8215430751681657,0.7513664308029389
MF22-18,237,0.9454814944909089,0.9467892879054688,0.9611977394715344,0.9197745487972664,0.996103929146481,0.9305692418872071,0.908690286797723,0.9064515373899604,0.8649284540560152,0.7936155484250911,0.856952989721888,0.7819676681345054
MF22-1,377,0.9088459862382473,0.9425696183464195,0.9301473209684163,0.9033718814266049,0.9305692418872071,0.9991719497187501,0.9556838705776095,0.9331726133619802,0.8867943735361912,0.831421606448002,0.8213586220183854,0.8232593394760441
"Sierra magmatic (Chapman et al., 2012)",653,0.9042592326245552,0.9374355520909442,0.9231586473630222,0.888501824152726,0.908690286797723,0.9556838705776095,0.9994423907638487,0.9244559706319005,0.8684032768870985,0.7925984910590413,0.793345560279524,0.7815235068379801
Great Valley Group (Sharman et al. 2015),375,0.908398217897039,0.9523078946877208,0.9011182594097488,0.8732953031644537,0.9064515373899604,0.9331726133619802,0.9244559706319005,0.9994423907638488,0.9494084824320932,0.9073962724167521,0.8962400199231827,0.9003681122926668
"Franciscan Complex (Bero et al., 2020)",1273,0.8878910083936891,0.927836263279639,0.8652175442926646,0.8255078776739423,0.8649284540560152,0.8867943735361912,0.8684032768870985,0.9494084824320932,0.9994423907638488,0.9495488000599573,0.9148615922213673,0.941700654452141
Franciscan Complex (Prohoroff et al. 2012),379,0.8211258226198703,0.8784865003928234,0.7874024401278105,0.7610131274232012,0.7936155484250911,0.831421606448002,0.7925984910590413,0.9073962724167521,0.9495488000599573,0.9994423907638488,0.8830314589057635,0.9461133410559088
Franciscan Complex (Snow et al. 2010),289,0.8390893754993605,0.8898801368409921,0.8461900431647016,0.8215430751681657,0.856952989721888,0.8213586220183854,0.793345560279524,0.8962400199231827,0.9148615922213673,0.8830314589057635,0.9994423907638488,0.8723478544024302
Franciscan Complex (Apen et al. 2021),1197,0.8324964804158331,0.8865510633169142,0.7719284400187801,0.7513664308029389,0.7819676681345054,0.8232593394760441,0.7815235068379801,0.9003681122926668,0.941700654452141,0.9461133410559088,0.8723478544024302,0.9994423907638487

Likeness
Label,n,MF22-22,MF22-21,MF22-16,MF22-19,MF22-18,MF22-1,"Sierra magmatic (Chapman et al., 2012)",Great Valley Group (Sharman et al. 2015),"Franciscan Complex (Bero et al., 2020)",Franciscan Complex (Prohoroff et al. 2012),Franciscan Complex (Snow et al. 2010),Franciscan Complex (Apen et al. 2021)
MF22-22,296,1.0,0.8520141852231918,0.7957262874093722,0.7421844822631006,0.8273065528963144,0.7750939653794318,0.7639555714134156,0.8134060783662755,0.7618060062499094,0.6393153250405581,0.648236341515811,0.638145907861069
MF22-21,266,0.8520141852231918,1.0,0.7659891033634396,0.720469538733481,0.8035456714939788,0.7999683944130451,0.7615020992898232,0.9137974757493017,0.7959814347084243,0.7104781495261265,0.7487852949961444,0.6868525140649241
MF22-16,370,0.7957262874093722,0.7659891033634396,1.0,0.8135157561678172,0.8893352692019738,0.8135274753347534,0.8145593234729812,0.7318299353561308,0.6420656341106344,0.5335419155969692,0.6005591286493928,0.5054677197726894
