height (ft),formation,sample,hornblende,oxy-hornblende,enstatite,hypersthene,green augite,brown augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,glauconite,carbonate,# mica group,# opaque grains,# unidentifiable,total grains counted,percent identifiable
5005,Thornton Beach (lower),670-108,36,0,0,29,23,0,3,5,0,1,0,2,0,1,0,0,0,0,0,0,0,21,55,176,57
4940,Thornton Beach (lower),670-32,44,0,1,18,24,0,7,3,0,0,1,2,0,0,0,0,0,0,0,0,0,42,93,235,43
4915,Thornton Beach (lower),670-107,81,2,0,1,3,0,5,0,1,0,0,3,3,1,0,0,0,0,0,0,0,47,67,214,47
4895,Thornton Beach (lower),670-40,61,3,0,0,3,0,14,3,2,0,0,9,1,4,0,0,0,0,0,0,0,27,68,195,51
4880,Thornton Beach (lower),670-106,71,5,0,0,3,0,8,5,2,1,0,4,0,0,1,0,0,0,0,0,0,28,80,208,48
4875,Thornton Beach (lower),670-105,56,1,0,5,19,0,10,3,1,1,0,2,0,1,0,1,0,0,0,0,0,40,69,209,48
4860,Thornton Beach (lower),670-30,46,1,0,13,19,0,12,5,0,0,1,1,1,1,0,0,0,0,0,0,0,43,89,232,43
4835,Thornton Beach (lower),670-31,61,5,1,10,8,0,10,2,0,0,0,1,0,1,0,0,0,1,0,0,8,7,45,160,63
4785,Thornton Beach (lower),670-103,77,4,0,2,3,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,2,7,41,150,67
4725,Thornton Beach (lower),670-102,60,5,0,8,15,0,2,3,0,0,0,5,1,1,0,0,0,0,0,0,0,46,36,182,55
4675,Thornton Beach (lower),670-42,35,1,0,30,25,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,3,48,47,198,51
4590,Thornton Beach (lower),670-29,32,5,3,16,11,2,10,4,0,2,1,5,1,3,1,0,2,0,2,0,1,21,172,294,34
4575,Thornton Beach (lower),670-78,49,1,0,7,3,0,18,8,1,0,0,5,0,5,0,0,0,1,2,0,2,26,245,373,27
4570,Westlake (upper),670-134,37,2,3,0,3,0,11,13,13,3,7,2,0,2,0,2,0,0,2,0,2,11,306,419,24
4555,Westlake (upper),670-77,21,3,2,0,2,0,39,7,5,4,2,6,4,3,0,1,0,0,1,0,0,43,241,384,26
4550,Westlake (upper),670-133,24,2,3,0,3,0,18,10,16,1,5,7,4,5,0,0,0,0,2,0,0,41,367,508,20
4520,Westlake (upper),670-76,20,3,2,0,2,0,36,7,9,4,2,6,0,5,0,1,0,0,3,0,0,37,228,365,27
4485,Westlake (upper),670-34,17,0,1,1,3,1,24,17,11,7,6,4,2,1,0,1,1,0,3,0,11,17,303,431,23
4475,Westlake (upper),670-75,29,0,3,1,4,2,19,15,15,2,2,3,0,2,0,0,1,0,2,0,1,20,370,491,20
4430,Westlake (upper),670-74,37,4,2,0,5,2,22,9,8,1,2,5,1,2,0,0,0,0,0,0,7,25,196,328,30
4395,Westlake (upper),670-35,33,0,2,0,4,0,18,18,13,5,0,2,3,1,0,1,0,0,0,0,11,12,350,473,21
4330,Westlake (upper),670-72,26,0,3,0,1,3,20,16,12,7,5,3,3,0,0,1,0,0,0,0,142,21,310,573,17
4260,Westlake (upper),670-71,22,1,4,0,2,2,17,14,15,9,4,3,0,3,0,0,0,0,4,0,52,14,506,672,15
4160,Westlake (upper),670-70,27,4,1,0,1,6,16,12,10,8,2,2,7,0,0,4,0,0,0,0,20,11,218,349,29
4070,Westlake (upper),670-36,36,3,1,0,1,0,19,12,9,6,2,2,4,0,0,3,0,0,2,0,3,3,303,409,24
4045,Westlake (upper),670-37,16,1,2,1,4,7,26,13,10,2,2,7,4,3,0,1,0,0,1,0,2,33,457,592,17
3980,Westlake (upper),670-68,29,2,1,0,2,3,23,8,10,3,2,8,2,2,0,2,0,0,3,0,20,28,226,374,27
3735,Westlake (upper),670-66,32,3,0,0,0,0,20,5,11,5,6,7,2,3,0,5,0,0,0,1,3,14,202,319,31
3700,Westlake (upper),670-65,10,1,4,0,6,4,12,14,21,1,14,2,2,2,0,0,0,0,7,0,192,32,445,769,13
3535,Westlake (upper),670-64,47,1,0,0,0,0,21,8,4,2,5,5,2,3,0,2,0,0,0,0,2,11,170,283,35
3510,Westlake (upper),670-38,22,2,3,0,4,1,27,8,3,6,6,6,0,9,0,1,0,0,2,0,2,18,269,389,26
3405,Westlake (upper),670-59,37,3,2,1,4,2,19,4,11,1,2,5,4,3,0,1,0,0,1,0,3,56,247,406,25
3205,Westlake (upper),670-54,51,2,1,0,0,0,9,2,1,5,2,10,0,9,0,3,2,0,1,2,8,12,137,257,39
3140,Westlake (upper),670-53,59,1,1,0,0,0,13,3,3,4,1,4,2,2,0,3,1,0,0,3,58,10,162,330,30
2975,Westlake (upper),670-51,49,0,0,0,0,0,17,2,7,7,2,5,3,3,0,5,0,0,0,0,9,14,218,341,29
2790,Westlake (upper),670-48,50,2,0,0,0,0,20,2,2,6,3,3,1,6,0,3,1,0,1,0,14,27,199,340,29
2760,Westlake (upper),670-39,39,1,1,0,1,0,20,3,9,3,5,7,1,5,0,0,1,0,4,0,6,43,234,383,26
2470,Westlake (upper),670-41,44,1,2,0,1,0,18,2,2,6,1,7,1,3,0,3,3,0,1,5,5,27,148,280,36
2320,Westlake (upper),670-118,18,0,2,0,1,0,18,10,22,10,14,1,0,0,0,0,0,0,0,4,45,29,592,766,13
1980,Westlake (upper),670-117,15,1,3,0,5,5,21,6,8,0,6,11,5,13,1,0,0,0,0,0,1,84,465,650,15
1710,Westlake (upper),670-24,16,2,1,0,4,1,28,3,5,6,7,7,4,9,1,2,0,0,4,0,2,31,298,431,23
1560,Westlake (upper),670-113,38,2,1,1,2,2,20,6,6,1,4,9,2,6,0,0,0,0,0,0,222,36,396,754,13
1505,Westlake (upper),670-114,59,1,0,0,0,0,20,7,6,3,0,3,0,0,0,1,0,0,0,0,20,11,175,306,33
1030,Westlake (upper),670-119,43,0,0,0,3,1,19,11,9,0,4,4,1,2,0,1,1,1,0,0,361,58,272,791,13
580,Westlake (upper),670-27,32,0,1,0,1,0,27,6,7,5,4,13,1,1,0,0,0,0,2,0,52,23,316,491,20
210,Westlake (upper),670-26,29,0,1,0,3,0,23,5,14,6,4,5,3,4,0,2,1,0,0,0,12,38,524,674,15
?,Westlake (south of San Andreas Fault),670-120,32,0,0,0,0,0,36,6,8,0,2,11,0,0,0,1,2,0,0,2,665,68,240,1073,9
?,Westlake (south of San Andreas Fault),670-122 sandy silt,32,0,0,0,2,0,33,3,6,1,1,4,3,8,1,4,2,0,0,0,63,22,124,309,32
