section,height above base of section (ft),sample,hornblende,oxy-hornblende,enstatite,hypersthene,green augite,brown augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,glauconite,# mica group,# opaque grains,# unidentifiable,total grains counted,percent identifiable
B,114,670-8,49,6,1,11,11,0,11,4,0,0,0,2,1,2,0,0,0,1,1,0,18,46,164,61
B,76,670-11,44,4,0,17,17,0,8,3,0,0,0,6,0,1,0,0,0,0,0,0,55,57,212,47
B,47,670-10,60,6,0,1,5,0,6,4,0,1,0,6,2,6,0,1,0,2,0,1,72,120,293,34
B,21,670-14,32,1,0,34,24,0,6,0,0,0,0,2,0,1,0,0,0,0,0,1,61,54,216,46
B,6,670-16,46,5,1,25,15,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,10,54,167,60
C,23,670-6 tuff,56,0,0,38,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,3,131,76
C,15,670-1,32,1,2,26,18,1,5,4,0,0,0,8,0,1,1,1,0,0,0,1,34,62,197,51
D,16,670-20,57,1,1,27,9,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,49,41,190,53
D,8,670-99,59,4,1,17,9,0,5,2,0,0,1,2,0,0,0,0,0,0,0,0,56,43,199,50
E,50,670-94,57,2,1,16,18,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,15,51,166,60
E,22,670-95,35,3,0,36,19,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,21,57,178,56
G,202,670-82,50,3,0,17,13,0,9,0,0,0,0,5,1,2,0,0,0,0,0,0,38,53,191,52
G,153,670-84,24,4,1,23,33,0,6,2,1,0,0,3,2,1,0,0,0,0,0,0,91,32,223,45
G,148,670-85,42,3,0,24,18,1,4,1,0,0,0,5,0,2,0,0,0,0,0,0,18,33,151,66
G,141,670-86,36,1,0,35,17,0,5,1,0,1,0,2,0,2,0,0,0,0,0,0,45,18,163,61
G,72,670-87,31,2,0,56,6,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,72,11,184,54
G,51,670-22 gravel,67,2,0,13,11,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,30,57,187,53
G,39,670-19 tuff,68,0,0,28,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,18,30,148,68
G,37,670-21,35,0,0,27,24,0,4,1,0,0,2,3,2,2,0,0,0,0,0,0,39,67,206,49
G,24,670-89,43,1,2,15,17,0,15,1,1,1,0,4,0,0,0,0,0,0,0,0,34,37,171,58
G,15,670-91,38,0,0,29,20,1,6,1,0,0,0,2,1,2,0,0,0,0,0,0,38,46,184,54
G,4,670-93,34,1,0,30,29,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,33,24,157,64
H,55,670-81,25,0,0,39,22,0,6,0,0,0,0,4,2,2,0,0,0,0,0,0,51,24,175,57
I,167,670-13,38,2,0,25,27,0,2,3,0,0,0,2,0,1,0,0,0,0,0,0,29,53,182,55
I,52,670-79,30,0,0,31,22,0,7,1,0,0,1,5,1,2,0,0,0,0,0,0,64,49,213,47
K,102,670-33,48,0,0,20,13,0,9,2,1,0,1,6,0,0,0,0,0,0,0,0,28,53,181,55
L,439,670-131,48,1,0,18,10,0,8,5,1,0,0,6,1,2,0,0,0,0,0,0,9,14,153,65
L,421,670-130,55,3,0,12,10,0,14,3,0,0,0,1,0,2,0,0,0,0,0,1,8,74,183,55
L,377,670-129,60,2,1,9,5,1,12,5,0,0,0,3,0,0,0,0,1,0,1,76,24,61,261,38
L,335,670-128,67,0,0,4,14,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,11,52,163,61
L,277,670-132,67,1,1,2,4,0,12,6,0,1,0,1,1,4,0,0,0,0,0,0,25,53,178,56
L,228,670-127,66,2,2,3,5,0,10,10,0,0,1,1,0,0,0,0,0,0,0,2,9,132,243,41
L,178,670-126,56,3,2,5,12,1,11,2,3,0,1,3,0,1,0,0,0,0,0,7,33,362,502,20
L,108,670-125,61,1,2,12,16,0,6,0,0,0,1,0,0,0,0,0,0,0,1,4,11,97,212,47
L,48,670-124,31,2,2,32,22,0,3,0,0,0,0,2,3,3,0,0,0,0,0,0,59,47,206,49
L,6,670-123,30,2,0,31,27,0,3,0,0,0,0,3,1,2,0,0,0,0,1,0,51,45,196,51
misc,,670-100 tuff,72,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,128,78
