location,sample,hornblende,oxy-hornblende,enstatite,hypersthene,green augite,brown augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,apatite,glauconite,carbonate,# mica group,# opaque grains,# unidentifiable,total grains counted,percent identifiable
Suisun Bay - Carquinez Strait,670-SFB-587,48,2,1,14,18,0,4,9,0,2,0,1,0,0,0,0,0,0,5,61,166,60
Suisun Bay - Carquinez Strait,670-SFB-583,49,3,0,18,15,0,5,8,1,0,1,0,0,0,0,0,0,2,12,96,210,48
Suisun Bay - Carquinez Strait,670-SFB-565,48,1,0,18,19,1,8,5,0,0,0,0,0,0,0,0,0,0,12,62,174,57
San Pablo Bay,670-SFB-555,40,1,0,20,19,0,13,4,1,1,0,1,0,0,0,0,0,1,9,58,168,60
San Pablo Bay,670-SFB-553,32,3,1,26,18,0,11,7,0,0,1,0,0,0,1,0,0,1,12,61,174,57
San Pablo Bay,670-SFB-554,37,5,0,23,17,0,7,8,0,2,0,1,0,0,0,0,0,1,21,79,201,50
San Pablo Bay,670-SFB-596,50,0,0,21,18,0,5,4,0,0,0,0,1,0,1,0,0,0,17,54,171,58
San Pablo Bay,670-SFB-599,37,1,1,21,19,0,12,5,0,0,0,1,2,1,0,0,0,1,12,50,163,61
San Pablo Bay,670-SFB-540,46,1,0,19,16,0,8,6,1,3,0,0,0,0,0,0,0,0,7,44,151,66
San Pablo Bay,670-SFB-535,42,0,0,20,19,0,9,7,0,2,0,0,0,1,0,0,0,0,13,48,161,62
North San Francisco Bay,670-SFB-114,43,1,0,23,16,1,7,4,0,1,1,1,0,0,1,1,0,2,9,53,164,61
North San Francisco Bay,670-SFB-117,40,0,1,25,20,0,3,7,0,1,0,0,0,2,1,0,0,3,12,82,197,51
North San Francisco Bay,670-SFB-160,45,1,0,16,15,0,8,6,0,1,0,5,2,1,0,0,0,2,12,52,166,60
North San Francisco Bay,670-SFB-194,44,3,0,20,13,0,7,9,0,0,0,3,1,0,0,0,0,4,4,71,179,56
North San Francisco Bay,670-SFB-200,40,2,0,26,17,0,8,4,0,0,0,2,0,1,0,0,0,1,24,81,206,49
North San Francisco Bay,670-SFB-151,37,1,0,28,18,1,7,1,0,1,0,3,2,0,0,1,0,2,9,63,174,57
North San Francisco Bay,670-SFB-324,50,3,0,12,13,0,7,7,0,1,1,3,2,0,0,1,0,0,18,67,185,54
Bay Bar,670-SFB-496,42,2,0,21,16,0,5,6,0,2,0,3,0,2,0,1,0,1,16,75,192,52
Bay Bar,670-SFB-464,41,1,0,22,16,0,9,4,1,1,0,4,0,1,0,0,0,2,10,84,196,51
Bay Bar,670-SFB-460,46,4,0,21,13,0,9,3,0,2,0,1,0,0,0,1,0,0,4,31,135,74
Continental shelf west of Bay Bar,670-SFB-369,43,3,0,11,10,3,12,10,0,2,2,1,0,0,2,1,0,3,3,77,183,55
Continental shelf west of Bay Bar,670-SFB-339,50,3,0,4,12,0,12,11,0,1,3,1,0,0,3,0,0,2,3,94,199,50
Continental shelf west of Bay Bar,670-SFB-342,40,3,1,13,12,3,11,9,1,2,1,2,1,0,0,1,0,4,9,92,205,49
South San Francisco Bay,670-SFB-186,26,4,0,14,11,1,11,3,2,4,1,13,7,1,0,0,2,6,156,73,335,30
South San Francisco Bay,670-SFB-300,33,1,0,8,11,5,13,4,6,6,3,2,4,3,1,0,0,3,33,163,299,33
South San Francisco Bay,670-SFB-313,7,1,0,2,7,6,16,11,8,5,1,3,2,3,2,0,26,14,63,273,450,22
