lithology,drainage system,location,sample,hornblende,oxy-hornblende,enstatite,hypersthene,green augite,brown augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,sphene,zircon,garnet,apatite,tourmaline,andalusite,carbonate,# mica group,# opaque grains,# unidentifiable,total grains counted,percent identifiable
fine channel sand,San Joaquin River,Byron,670-GV-35,74,0,1,1,3,0,12,2,1,0,4,0,0,2,0,0,0,2,6,32,140,71
coarse channel sand,San Joaquin River,Modesto,670-GV-1,68,0,0,2,4,0,5,1,0,0,13,4,3,0,0,0,0,1,30,23,154,65
overbank sandy soil,San Joaquin River,Modesto,670-GV-2,72,0,0,2,2,0,10,8,0,0,5,0,1,0,0,0,0,1,8,31,140,71
flood plain sand,San Joaquin River,Friant,670-GV-18,89,1,0,0,0,0,4,1,0,0,4,1,0,0,0,0,0,11,8,31,140,71
coarse channel sand,Chowchilla River,3-county junction,670-GV-36,91,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0,2,0,6,108,93
medium channel sand,Merced River,Hills Ferry,670-GV-37,70,1,0,3,2,0,12,2,0,0,9,0,1,0,0,0,0,38,12,147,297,34
medium channel sand,Tuolumne River,Waterford,670-GV-3,72,3,0,1,3,0,13,4,0,0,2,1,0,0,1,0,0,1,18,30,149,67
overbank sandy soil,Tuolumne River,Waterford,670-GV-4,76,3,0,2,3,0,13,2,0,0,1,0,0,0,0,0,0,10,18,34,162,62
medium channel sand,Stanislaus River,Oakdale,670-GV-5,50,4,0,5,9,0,4,1,0,0,3,0,0,1,0,0,23,6,11,29,146,68
overbank sandy soil,Stanislaus River,Oakdale,670-GV-6,51,5,0,1,8,0,8,7,0,0,2,1,0,2,0,0,15,14,20,38,172,58
medium channel sand,Calaveras River,Bellota,670-GV-7,57,4,0,5,15,0,10,5,0,0,1,0,1,0,1,1,0,0,16,79,195,51
overbank sandy soil,Calaveras River,Bellota,670-GV-8,50,2,0,2,7,0,24,14,0,0,1,0,0,0,0,0,0,6,22,81,209,48
fine channel sand,Mokelumne River,Clements,670-GV-9,71,3,0,3,2,0,11,6,0,0,1,0,1,2,0,0,0,3,16,27,146,68
overbank sandy soil,Mokelumne River,Clements,670-GV-10,64,1,0,1,8,0,9,15,0,0,1,0,1,0,0,0,0,21,16,43,180,56
medium channel sand,Cosumnes River,Latrobe,670-GV-11,74,0,0,1,8,1,14,2,0,0,0,0,0,0,0,0,0,0,3,23,126,79
medium channel sand,South Fork American River,Lotus,670-GV-14,74,4,0,5,5,0,7,3,0,0,1,0,0,0,1,0,0,4,56,21,181,55
overbank sandy soil,South Fork American River,Lotus,670-GV-15,71,3,0,1,0,0,16,8,0,0,1,0,0,0,0,0,0,3,24,42,169,59
coarse channel sand,North Fork American River,Auburn,670-GV-12,39,3,0,12,18,0,20,4,0,0,0,0,3,0,0,0,1,3,37,53,193,52
medium channel sand,North Fork American River,Auburn,670-GV-13,47,2,0,8,9,0,26,5,0,0,1,0,1,0,0,0,1,3,36,65,204,49
medium terrace sand,Bear River,Wheatland,670-GV-20,19,3,0,10,4,2,11,7,0,0,10,9,1,0,18,6,0,3,285,154,542,18
overbank sandy soil,Bear River,Wheatland,670-GV-19,28,2,0,10,5,0,17,12,0,0,1,1,2,0,14,1,7,7,175,210,492,20
coarse channel sand,Yuba River,Smartville,670-GV-22,52,1,0,7,2,0,22,11,0,0,0,0,0,0,4,1,0,2,19,116,237,42
medium channel sand,Feather River,East Gridley,670-GV-25,73,3,0,5,7,1,7,2,0,0,0,1,0,1,0,0,0,0,21,69,190,53
overbank sandy soil,Feather River,East Gridley,670-GV-24,60,0,2,8,4,0,17,3,0,0,1,2,2,1,0,0,0,5,14,52,171,58
very fine channel sand,Sacramento River,Butte City,670-GV-27,22,1,3,26,28,1,9,2,1,4,1,0,1,1,0,0,0,2,21,117,240,42
fine channel sand,Sacramento River,Butte City,670-GV-26,26,2,1,27,23,1,10,6,2,2,0,0,0,0,0,0,0,2,17,86,205,49
very fine channel sand,Sacramento River,Colusa,670-GV-28,27,2,1,29,20,1,11,6,1,1,1,0,0,0,0,0,0,3,24,131,258,39
very fine channel sand,Sacramento River,Colusa,670-GV-29,22,2,3,30,18,1,15,4,1,1,0,0,1,1,1,0,0,2,20,114,236,42
very fine channel sand,Cache Creek,Guinda,670-GV-30,10,0,0,1,2,1,22,11,4,0,1,2,8,1,0,0,37,10,140,434,684,15
coarse channel sand,Putah Creek,Winters,670-GV-16,14,0,0,14,11,1,38,14,3,0,0,2,1,0,0,0,2,3,156,155,414,24
fine terrace sand,Putah Creek,Winters,670-GV-17,14,0,0,12,16,8,20,18,2,1,3,1,2,2,0,0,1,1,198,150,449,22
medium channel sand,Sacramento River,Courtland,670-GV-32,55,1,0,15,18,0,5,0,0,0,2,0,2,0,0,0,2,0,8,63,171,58
medium channel sand,Sacramento River,Isleton,670-GV-33,55,1,1,14,7,2,13,3,0,1,0,0,2,0,1,0,0,0,19,57,176,57
very coarse channel sand,Sacramento River,Rio Vista,670-GV-34,37,2,0,29,16,1,14,0,0,0,1,0,0,0,0,0,0,0,31,76,207,48
