source,hornblende,oxy-hornblende,enstatite,hypersthene,augite,"epidote, clinozoisite",tremolite-actinolite,glaucophane,lawsonite,pumpellyite,sphene,zircon,garnet,rutile,apatite,tourmaline,andalusite,glauconite,carbonate,cummingtonite,height (ft),sample
"Merced, upper",49,1,0,7,3,18,8,1,0,0,5,0,5,0,0,0,1,2,0,0,5005,670-108
"Merced, upper",32,5,3,16,13,10,4,0,2,1,5,1,3,1,0,2,0,2,0,0,4940,670-32
"Merced, upper",35,1,0,30,25,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4915,670-107
"Merced, upper",60,5,0,8,15,2,3,0,0,0,5,1,1,0,0,0,0,0,0,0,4895,670-40
"Merced, upper",77,4,0,2,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4880,670-106
"Merced, upper",61,5,1,10,8,10,2,0,0,0,1,0,1,0,0,0,1,0,0,0,4875,670-105
"Merced, upper",46,1,0,13,19,12,5,0,0,1,1,1,1,0,0,0,0,0,0,0,4860,670-30
"Merced, upper",56,1,0,5,19,10,3,1,1,0,2,0,1,0,1,0,0,0,0,0,4835,670-31
"Merced, upper",71,5,0,0,3,8,5,2,1,0,4,0,0,1,0,0,0,0,0,0,4785,670-103
"Merced, upper",61,3,0,0,3,14,3,2,0,0,9,1,4,0,0,0,0,0,0,0,4725,670-102
"Merced, upper",81,2,0,1,3,5,0,1,0,0,3,3,1,0,0,0,0,0,0,0,4675,670-42
"Merced, upper",44,0,1,18,24,7,3,0,0,1,2,0,0,0,0,0,0,0,0,0,4590,670-29
"Merced, upper",36,0,0,29,23,3,5,0,1,0,2,0,1,0,0,0,0,0,0,0,4575,670-78
"Merced, lower",37,2,3,0,3,11,13,13,3,7,2,0,2,0,2,0,0,2,0,0,4570,670-134
"Merced, lower",21,3,2,0,2,39,7,5,4,2,6,4,3,0,1,0,0,1,0,0,4555,670-77
"Merced, lower",24,2,3,0,3,18,10,16,1,5,7,4,5,0,0,0,0,2,0,0,4550,670-133
"Merced, lower",20,3,2,0,2,36,7,9,4,2,6,0,5,0,1,0,0,3,0,0,4520,670-76
"Merced, lower",17,0,1,1,4,24,17,11,7,6,4,2,1,0,1,1,0,3,0,0,4485,670-34
"Merced, lower",29,0,3,1,6,19,15,15,2,2,3,0,2,0,0,1,0,2,0,0,4475,670-75
"Merced, lower",37,4,2,0,7,22,9,8,1,2,5,1,2,0,0,0,0,0,0,0,4430,670-74
"Merced, lower",33,0,2,0,4,18,18,13,5,0,2,3,1,0,1,0,0,0,0,0,4395,670-35
"Merced, lower",26,0,3,0,4,20,16,12,7,5,3,3,0,0,1,0,0,0,0,0,4330,670-72
"Merced, lower",22,1,4,0,4,17,14,15,9,4,3,0,3,0,0,0,0,4,0,0,4260,670-71
"Merced, lower",27,4,1,0,7,16,12,10,8,2,2,7,0,0,4,0,0,0,0,0,4160,670-70
"Merced, lower",36,3,1,0,1,19,12,9,6,2,2,4,0,0,3,0,0,2,0,0,4070,670-36
"Merced, lower",16,1,2,1,11,26,13,10,2,2,7,4,3,0,1,0,0,1,0,0,4045,670-37
"Merced, lower",29,2,1,0,5,23,8,10,3,2,8,2,2,0,2,0,0,3,0,0,3980,670-68
"Merced, lower",32,3,0,0,0,20,5,11,5,6,7,2,3,0,5,0,0,0,1,0,3735,670-66
"Merced, lower",10,1,4,0,10,12,14,21,1,14,2,2,2,0,0,0,0,7,0,0,3700,670-65
"Merced, lower",47,1,0,0,0,21,8,4,2,5,5,2,3,0,2,0,0,0,0,0,3535,670-64
"Merced, lower",22,2,3,0,5,27,8,3,6,6,6,0,9,0,1,0,0,2,0,0,3510,670-38
"Merced, lower",37,3,2,1,6,19,4,11,1,2,5,4,3,0,1,0,0,1,0,0,3405,670-59
"Merced, lower",51,2,1,0,0,9,2,1,5,2,10,0,9,0,3,2,0,1,2,0,3205,670-54
"Merced, lower",59,1,1,0,0,13,3,3,4,1,4,2,2,0,3,1,0,0,3,0,3140,670-53
"Merced, lower",49,0,0,0,0,17,2,7,7,2,5,3,3,0,5,0,0,0,0,0,2975,670-51
"Merced, lower",50,2,0,0,0,20,2,2,6,3,3,1,6,0,3,1,0,1,0,0,2790,670-48
