"source","hornblende","oxy.hornblende","enstatite","hypersthene","augite","epidote..clinozoisite","tremolite.actinolite","glaucophane","lawsonite","pumpellyite","sphene","zircon","garnet","rutile","apatite","tourmaline","andalusite","glauconite","carbonate","cummingtonite","height..ft.","sample","strat.pos","pc1","pc2","X","Y","X.1"
"Merced, upper",49,1,0,7,3,18,8,1,0,0,5,0,5,0,0,0,1,2,0,0,5005,"670-108",1525.524,-2.77520737503716,0.851628793435945,NA,NA,NA
"Merced, upper",32,5,3,16,13,10,4,0,2,1,5,1,3,1,0,2,0,2,0,0,4940,"670-32",1505.712,-1.47844288344568,-2.03899009816668,NA,NA,NA
"Merced, upper",35,1,0,30,25,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4915,"670-107",1498.092,-6.58359089114849,-0.549396310531876,NA,NA,NA
"Merced, upper",60,5,0,8,15,2,3,0,0,0,5,1,1,0,0,0,0,0,0,0,4895,"670-40",1491.996,-4.8327480452141,2.75855913290049,NA,NA,NA
"Merced, upper",77,4,0,2,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4880,"670-106",1487.424,-5.44366723537404,-1.06573146813677,NA,NA,NA
"Merced, upper",61,5,1,10,8,10,2,0,0,0,1,0,1,0,0,0,1,0,0,0,4875,"670-105",1485.9,-5.57926710954318,-0.146149728576338,NA,NA,NA
"Merced, upper",46,1,0,13,19,12,5,0,0,1,1,1,1,0,0,0,0,0,0,0,4860,"670-30",1481.328,-3.64282188271197,1.67116526443833,NA,NA,NA
"Merced, upper",56,1,0,5,19,10,3,1,1,0,2,0,1,0,1,0,0,0,0,0,4835,"670-31",1473.708,-1.41282262269332,-0.765913814219031,NA,NA,NA
"Merced, upper",71,5,0,0,3,8,5,2,1,0,4,0,0,1,0,0,0,0,0,0,4785,"670-103",1458.468,1.38812138020919,-1.10426208858887,NA,NA,NA
"Merced, upper",61,3,0,0,3,14,3,2,0,0,9,1,4,0,0,0,0,0,0,0,4725,"670-102",1440.18,2.13533389804022,4.70107040640217,NA,NA,NA
"Merced, upper",81,2,0,1,3,5,0,1,0,0,3,3,1,0,0,0,0,0,0,0,4675,"670-42",1424.94,-0.837928652526303,4.03535433080498,NA,NA,NA
"Merced, upper",44,0,1,18,24,7,3,0,0,1,2,0,0,0,0,0,0,0,0,0,4590,"670-29",1399.032,-3.49058416090929,-2.7075318205291,NA,NA,NA
"Merced, upper",36,0,0,29,23,3,5,0,1,0,2,0,1,0,0,0,0,0,0,0,4575,"670-78",1394.46,-4.19120520039222,-1.10343841494189,NA,NA,NA
"Merced, lower",37,2,3,0,3,11,13,13,3,7,2,0,2,0,2,0,0,2,0,0,4570,"670-134",1392.936,7.92024950066246,-3.76068237907705,NA,NA,NA
"Merced, lower",21,3,2,0,2,39,7,5,4,2,6,4,3,0,1,0,0,1,0,0,4555,"670-77",1388.364,8.0959751921613,-0.456515132069943,NA,NA,NA
"Merced, lower",24,2,3,0,3,18,10,16,1,5,7,4,5,0,0,0,0,2,0,0,4550,"670-133",1386.84,8.04852740439884,-0.991996642239827,NA,NA,NA
"Merced, lower",20,3,2,0,2,36,7,9,4,2,6,0,5,0,1,0,0,3,0,0,4520,"670-76",1377.696,7.65388271554193,-3.08620205108423,NA,NA,NA
"Merced, lower",17,0,1,1,4,24,17,11,7,6,4,2,1,0,1,1,0,3,0,0,4485,"670-34",1367.028,6.25620836676069,-1.52792611017777,NA,NA,NA
"Merced, lower",29,0,3,1,6,19,15,15,2,2,3,0,2,0,0,1,0,2,0,0,4475,"670-75",1363.98,4.31939598848098,-3.85944159386184,NA,NA,NA
"Merced, lower",37,4,2,0,7,22,9,8,1,2,5,1,2,0,0,0,0,0,0,0,4430,"670-74",1350.264,6.06437804916487,-0.519051450381358,NA,NA,NA
"Merced, lower",33,0,2,0,4,18,18,13,5,0,2,3,1,0,1,0,0,0,0,0,4395,"670-35",1339.596,6.7891319012259,0.907076512971561,NA,NA,NA
"Merced, lower",26,0,3,0,4,20,16,12,7,5,3,3,0,0,1,0,0,0,0,0,4330,"670-72",1319.784,8.40410061822116,-1.67058018054742,NA,NA,NA
