localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, timedate, notes
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 14c9929367fcc1e1b4be8de970e60215, 544445.12971701, 4170593.69751406, 37.68146801, -122.49594989, 10S, 8.20979905, 6.92418229, -1.00000000, Wed Nov  8 15:54:07 2023, MF16-20
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 86d318277dfc83be3d0223eb29976396, 544444.35813965, 4170581.64342301, 37.68135940, -122.49595937, 10S, 7.38007904, 8.35716104, -1.00000000, Wed Nov  8 15:51:38 2023, MF16-19
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 4ab6bf33513e63dfe5e1275fc2b0da59, 544446.71346280, 4170564.81644090, 37.68120763, -122.49593369, 10S, 7.38698956, 8.52750143, -1.00000000, Wed Nov  8 15:48:35 2023, MF16-18
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, a7a5d6aaede15447cbc70b0447670279, 544443.80557801, 4170558.40392426, 37.68114997, -122.49596706, 10S, 7.73398225, 8.30818774, -1.00000000, Wed Nov  8 15:45:55 2023, MF16-17
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, c4afd57e9c7956609618e58e83874c7f, 544448.37239694, 4170538.80655785, 37.68097312, -122.49591646, 10S, 2.82518192, 5.08358969, -1.00000000, Wed Nov  8 15:43:03 2023, MF16-16
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 43ff9c8dba56f53e4fdb80c7946646a1, 544450.77704582, 4170524.67210645, 37.68084561, -122.49589005, 10S, 9.74898023, 8.47605107, -1.00000000, Wed Nov  8 15:40:35 2023, MF16-15
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, e931d11c741b11a125899fc3c1782a6d, 544450.57715615, 4170505.10232882, 37.68066924, -122.49589351, 10S, 6.69555717, 6.91528299, -1.00000000, Wed Nov  8 15:36:35 2023, MF16-14
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, eba38d945c2b7eed3974dcdc0a1b945e, 544452.44482368, 4170494.90987560, 37.68057728, -122.49587296, 10S, 12.49592899, 11.62516219, -1.00000000, Wed Nov  8 15:33:42 2023, MF16-13
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, cc565f5d2d54752fd2bdbe16b255aa02, 544450.77719814, 4170468.38950965, 37.68033833, -122.49589348, 10S, 7.81445537, 7.81883920, -1.00000000, Wed Nov  8 15:28:17 2023, MF16-12
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 98430541d7ae1f8ad6d7fca5b66fa1d8, 544447.42583983, 4170461.51798992, 37.68027656, -122.49593191, 10S, 0.00000000, -1.00000000, -1.00000000, Wed Nov  8 15:11:35 2023, MF16-11
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, d3cd430eb73c277af02a4ebd67ab78c8, 544447.60809095, 4170446.91667959, 37.68014495, -122.49593073, 10S, 6.78878715, 8.80574785, -1.00000000, Wed Nov  8 15:09:02 2023, MF16-10
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 6b83f328338128d29fd00347b020eaa8, 544456.91579873, 4170426.20160860, 37.67995779, -122.49582644, 10S, 7.41212067, 9.28145251, -1.00000000, Wed Nov  8 15:06:37 2023, MF16-9
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 465cc5327ce87a642be346727990de60, 544467.43442937, 4170408.52530167, 37.67979797, -122.49570824, 10S, 10.99105313, 8.32876426, -1.00000000, Wed Nov  8 15:02:43 2023, MF16-8
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 281f4f4d60c27593c5ace6cb707becc3, 544456.16432642, 4170408.94199244, 37.67980227, -122.49583602, 10S, 0.00000000, -1.00000000, -1.00000000, Wed Nov  8 14:56:34 2023, MF16-7
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, cdb4afab2041aaa3f2f82eea5bd6b8b5, 544453.94829309, 4170395.41644368, 37.67968047, -122.49586197, 10S, 6.86679096, 9.69776809, -1.00000000, Wed Nov  8 14:53:09 2023, MF16-6
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 7591d62c5722a982c51452a52b50d3b7, 544460.51204186, 4170389.02343403, 37.67962253, -122.49578793, 10S, 8.76263528, 13.56364862, -1.00000000, Wed Nov  8 14:50:59 2023, MF16-5
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 5afcfb18d6a5518c4bbe0138d62b3bfa, 544457.95218034, 4170378.02787771, 37.67952355, -122.49581763, 10S, 6.75349907, 7.91151982, -1.00000000, Wed Nov  8 14:49:00 2023, MF16-4
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 09b1ff6678bae590eaa01f143585f08f, 544453.81443198, 4170370.98134783, 37.67946024, -122.49586498, 10S, 6.78251167, 9.63256516, -1.00000000, Wed Nov  8 14:46:17 2023, MF16-3
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, a7207ecf0c4a2c3e14b7048d1e90397a, 544463.19548551, 4170362.77978859, 37.67938586, -122.49575910, 10S, 2.97430030, 4.99780700, -1.00000000, Wed Nov  8 14:43:07 2023, MF16-1
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 27a978807bb970d9d5e37123a17a2c5e, 544466.55887050, 4170355.53936952, 37.67932044, -122.49572140, 10S, 2.93922767, 5.01851350, -1.00000000, Wed Nov  8 14:31:25 2023, MF15
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, c8720619db4f3c6bd77bac95c526fc90, 544468.20414392, 4170327.26419335, 37.67906552, -122.49570447, 10S, 7.50964556, 10.29626615, -1.00000000, Wed Nov  8 14:26:49 2023, MF14
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, d08ee73dc7d2feff1d10ad38ad41484b, 544484.08193997, 4170261.59459773, 37.67847287, -122.49552842, 10S, 7.03731157, 10.67148146, -1.00000000, Wed Nov  8 12:49:48 2023, MF13
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 40417950a8dbb0fd8fd2c57e780c446f, 544491.16774739, 4170136.99241174, 37.67734948, -122.49545567, 10S, 16.23998564, 12.33432248, -1.00000000, Wed Nov  8 11:58:06 2023, MF12
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 5a1e05612fdc807af15b0279d1651048, 544510.11835604, 4170053.50848622, 37.67659611, -122.49524587, 10S, 19.55959531, 11.56895522, -1.00000000, Wed Nov  8 11:36:17 2023, MF11
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, e2248bcc67f931e04f6cb1ff19f15c27, 544503.54936637, 4169840.58259291, 37.67467732, -122.49533336, 10S, 6.57814525, 6.56352902, -1.00000000, Wed Nov  8 11:10:32 2023, MF10
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, 8fbc7923f2db1f28b9e73b2b3747bcd7, 544482.56157987, 4170404.91790985, 37.67976472, -122.49553691, 10S, 23.87607231, 9.99403335, -1.00000000, Wed Nov  8 10:50:16 2023, water
2e1fbf3bc84fcebdf33b9e98261e200c, Thornton Beach, fc443792df9db25fdc0e7c2671660bb2, 543584.74800318, 4174998.09268051, 37.72120622, -122.50544343, 10S, 6.26732673, 5.07625394, -1.00000000, Thu Aug 10 14:53:24 2023, trail up to parking lot
