"","analysis","U_ppm","Th_ppm","Pb_ppm","Th_U","206Pb_cps","206Pb_204Pb","206Pb_204Pb_1s","208Pb_232Th","208Pb_232Th_2s","207Pb_235U","207Pb_235U_2s","206Pb_238U","206Pb_238U_2s","error_corr","238U_206Pb","238U_206Pb_2s","207Pb_206Pb","207Pb_206Pb_2s","208Pb_232Th_date","208Pb_232Th_date_2s","208Pb_232Th_date_2s_sys","207Pb_206Pb_date","207Pb_206Pb_date_2s","207Pb_206Pb_date_2s_sys","207Pb_235U_date","207Pb_235U_date_2s","207Pb_235U_date_2s_sys","206Pb_238U_date","206Pb_238U_date_2s","206Pb_238U_date_2s_sys","68_75_disc","68_75_disc_2s","68_76_disc","discordant"
"1","MF22-1 124    9/3/2022 1:35:42 PM    (Run: 1)",311.925469969164,101.160291523597,1.168799138311,0.324309174026724,541.818181818182,79.4666666666667,3.59802414913768,0.00473602611525188,40.928082359684,0.0360591728875106,26.1072390283614,0.00200799348667549,6.42549852845963,0.244626382090055,498.009583514953,6.42549852845963,0.130242338784471,25.3041676082174,95.4992890957065,38.9938352104335,39.1095308551236,2101.22911482252,444.333013809868,444.506785160608,35.9691921541166,9.22618283648089,9.23590276217411,12.9313789683478,0.830072732255563,0.839428738408217,64.0487367274167,9.50595820309633,99.3845802498582,"no"
"2","MF22-1 204    9/3/2022 4:51:26 PM    (Run: 1)",257.853697650545,186.836137114985,1.14903873314325,0.724581957976006,657.058823529412,657.058823529412,21.7398506725882,0.000889396226292445,21.2480873705649,0.0179444588766888,35.5337165751164,0.00378156694941157,5.4617809866045,0.153036848258414,264.440644150332,5.4617809866045,0.0344157547452909,35.1114505837493,17.9686175664598,3.81629096531997,3.84939616767589,-755.724824546929,986.693663949905,986.797754233256,18.0589506825448,6.36028869186158,6.36240596529352,24.3315700237074,1.32643222458773,1.33927947315402,-34.7341296370312,48.0178968528554,103.219633553562,"no"
"3","MF22-1 293    9/3/2022 8:21:47 PM    (Run: 1)",225.702154748457,151.446426820938,1.19960386912323,0.671001244935934,568.181818181818,98.8372093023255,4.86329171175874,0.00159452553435953,24.5604784840026,0.0272318977171419,29.3164590043578,0.0041517429643346,6.96669943415358,0.237006199329029,240.862695159711,6.96669943415358,0.0475714264466521,28.4766547815637,32.2031164759751,7.90294211797835,7.96032080562657,77.9828842149117,676.398510401131,676.506103817778,27.281013905635,7.89134142784193,7.89492613858083,26.7084497016618,1.85684815945583,1.86682588642249,2.09876438593398,29.1254986361598,65.7508824268971,"no"
"4","MF22-1 270    9/3/2022 7:11:37 PM    (Run: 1)",362.652391262936,188.359582601547,1.83652925367825,0.519394293652897,933.770053475936,99.0734275261369,2.3168234146712,0.00141354293769409,29.2863488168652,0.0301972531945781,17.2363428858147,0.00422362026637861,5.62872286067338,0.325208250339246,236.763709076861,5.62872286067338,0.0518538850470075,16.2913779354328,28.5505632386958,8.35551488030543,8.38843855933418,278.967845979541,372.952103570337,373.136522186833,30.2079421862595,5.13005579520762,5.1371991769063,27.1698682870015,1.52609828544055,1.53965540629954,10.057202442078,16.0882933406111,90.260573511044,"no"
"5","MF22-1 36    9/2/2022 7:47:04 PM    (Run: 1)",736.782591837824,950.526044855055,4.79776013106458,1.29010383169351,1792.00534759358,109.870491803279,2.72620313858091,0.00135665540156909,7.21713655857613,0.0278116451909718,14.3626899854102,0.00467997709128149,4.03727533860629,0.276778322735562,213.676259625915,4.03727533860629,0.0431004374706262,13.7835870315852,27.4023344240803,1.97632390620323,2.19675919756437,-161.804534004215,342.777387336284,343.2286615967,27.8539124972422,3.94619773930147,3.95918069120556,30.0986948993209,1.21233475211609,1.24387084603732,-8.05912778788609,15.9159471278764,118.601885963552,"no"
"6","MF22-1 47    9/2/2022 8:11:35 PM    (Run: 1)",383.605130835007,494.271942290683,4.95495287616265,1.28849147876303,1445.16042780749,63.5870588235294,2.72833333157186,0.00191015448267608,18.4467254414236,0.0654356488137153,18.9488092673376,0.0102482508057446,5.7291525984915,0.300043255157895,97.577627534199,5.7291525984915,0.0463087856643702,18.0619540236692,38.5714955667959,7.10839313994419,7.23216408091477,13.7168482968176,434.242121590554,434.575172204614,64.3588114313553,11.8167765721339,11.8392648747933,65.7282419211776,3.74653879244376,3.7957151351929,-2.12780574930735,19.6342814796863,-379.178893714432,"no"
"7","MF22-1 185    9/3/2022 4:07:26 PM    (Run: 1)",141.999170169642,55.9290646384864,1.9101661939794,0.393868954104941,930.508021390374,110.479365079365,3.76312291213266,0.00426836405863392,25.3390733745114,0.0839350571504524,12.7428540227564,0.0114683087915438,5.78278723912811,0.452046269075686,87.1968149948449,5.78278723912811,0.0530814450966763,11.3551618391046,86.0892008873762,21.7678152572627,21.9073013336336,332.3000294203,257.480090533306,257.738947084732,81.8378340305067,10.0192853742742,10.0453256252521,73.5087589477476,4.22671064398709,4.2635687083998,10.1775360765954,12.1492732665541,77.878798543598,"no"
"8","MF22-1 109    9/3/2022 1:03:05 PM    (Run: 1)",101.611552422252,63.919049730921,1.41359291602092,0.629052978792234,861.016042780749,170.655382774537,4.33664769229377,0.00328862068296659,27.7239428686795,0.0803498095686036,19.6362860799551,0.0115695336805363,4.24197273980594,0.213020747289548,86.4339071575826,4.24197273980594,0.0503695095763136,19.1726210594322,66.3610252471926,18.3677235424004,18.490362728787,212.05745245405,444.262625153056,444.565188778972,78.4737639653588,14.8289265321454,14.8562691397341,74.1538655758379,3.12756390729848,3.20672096854128,5.50489510281148,18.2957941347491,65.0312381301921,"no"
"9","MF22-1 220    9/3/2022 5:29:01 PM    (Run: 1)",28.5156181979501,20.0420751857081,0.422699868618382,0.702845544030634,226.256684491979,19.3418852842599,0.73569290583524,0.00274029976839726,40.9506801851139,0.135758565181467,23.9106832636729,0.0122554301555979,8.99049417051764,0.375396689991759,81.5964831347215,8.99049417051764,0.0803410318699128,22.1560779179343,55.3115902939779,22.6195086000053,22.6703430605223,1205.35571737422,436.440225407226,436.556134443676,129.25904154034,29.0203814063241,29.0416117191592,78.5233866684171,7.01681802002167,7.04177655687385,39.2511458133386,14.6795410854128,93.4854594758571,"no"
"10","MF22-1 181    9/3/2022 4:00:58 PM    (Run: 1)",283.184976152099,124.384683043448,4.29144192159396,0.439234752964582,2456.92513368984,217.490748462858,6.08434719498488,0.00478838700128613,10.6809301022439,0.0964851004199367,7.87493109218799,0.0126754492398443,4.64113299618669,0.5858083811484,78.8926673191648,4.64113299618669,0.0552071868921256,6.36195129016376,96.5525989263944,10.2881230674492,10.6565569987751,420.651938509147,142.030638895021,142.484830580417,93.526628903054,7.03613545441868,7.08403059098667,81.1976676009927,3.74485751591688,3.79561532101041,13.1823005347931,7.66105857165868,80.6971844968148,"no"
