,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF11-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 11,,,,,,,,,,,,,,,,,,,,,
site_lat,37.676389,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,,0,182,57,282,57,no,200,-8,2023,11,8,11,37,1,,,,,,,
2a,,0.11,198,52,282,57,no,215,-8,2023,11,8,11,40,1,,,,,,,
3a,,2.31,170,57,282,57,no,185,-8,2023,11,8,11,46,1,,,,,,,
4a,,2.37,163,62,282,57,no,175,-8,2023,11,8,11,48,1,,,,,,,
5a,,2.43,165,56,282,57,no,178,-8,2023,11,8,11,50,1,,,,,,,
