,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF13-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 13,,,,,,,,,,,,,,,,,,,,,
site_lat,37.678333,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495278,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,,1.7,185,58,302,64,no,181,-8,2023,11,8,12,53,1,,,,,,,
2a,,3.2,151,51,302,64,no,146,-8,2023,11,8,12,55,1,,,,,,,
3a,,4.5,140,67,302,64,no,135,-8,2023,11,8,12,56,1,,,,,,,
4a,,6.3,179,62,302,64,no,171,-8,2023,11,8,12,58,1,,,,,,,
5a,,8.9,190,44,302,64,no,184,-8,2023,11,8,13,1,1,,,,,,,
6a,,14,134,68,302,64,no,126,-8,2023,11,8,13,4,1,,,,,,,
7a,,15.4,163,61,302,64,no,155,-8,2023,11,8,13,6,1,,,,,,,
8a,,18.2,185,60,302,64,no,177,-8,2023,11,8,13,8,1,,,,,,,
9a,,21.7,180,24,302,64,no,169,-8,2023,11,8,13,11,1,,,,,,,
10a,,23.9,200,32,302,64,no,189,-8,2023,11,8,13,14,1,,,,,,,
