,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF13-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 13,,,,,,,,,,,,,,,,,,,,,
site_lat,37.678333,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-122.495278,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,1.7,185,58.0,302.0,64.0,no,181,-8,2023,11,8,12,53,1.0,nan,198.1,[13.089819217953158; 61.091198460673404; 47606.18971685186],13.089819217953158,13.099999999999994,198.1,nan
2a,sun compass orientation,3.2,151,51.0,302.0,64.0,no,146,-8,2023,11,8,12,55,1.0,nan,163.7,[13.089818928040941; 61.09119846147118; 47606.18936221849],13.089818928040941,12.699999999999989,163.7,nan
3a,sun compass orientation,4.5,140,67.0,302.0,64.0,no,135,-8,2023,11,8,12,56,1.0,nan,152.9,[13.089818783084855; 61.09119846187007; 47606.18918490181],13.089818783084855,12.900000000000006,152.9,nan
4a,sun compass orientation,6.3,179,62.0,302.0,64.0,no,171,-8,2023,11,8,12,58,1.0,nan,189.5,[13.089818493172638; 61.091198462667826; 47606.18883026843],13.089818493172638,10.5,189.5,nan
5a,sun compass orientation,8.9,190,44.0,302.0,64.0,no,184,-8,2023,11,8,13,1,1.0,nan,203.3,[13.089818058304319; 61.091198463864465; 47606.18829831836],13.089818058304319,13.300000000000011,203.3,nan
6a,sun compass orientation,14,134,68.0,302.0,64.0,no,126,-8,2023,11,8,13,4,1.0,nan,146.2,[13.08981762343599; 61.09119846506116; 47606.18776636831],13.08981762343599,12.199999999999989,146.2,nan
7a,sun compass orientation,15.4,163,61.0,302.0,64.0,no,155,-8,2023,11,8,13,6,1.0,nan,175.7,[13.089817333523765; 61.091198465858916; 47606.18741173497],13.089817333523765,12.699999999999989,175.7,nan
8a,sun compass orientation,18.2,185,60.0,302.0,64.0,no,177,-8,2023,11,8,13,8,1.0,nan,198.2,[13.089817043611548; 61.091198466656714; 47606.18705710158],13.089817043611548,13.199999999999989,198.2,nan
9a,sun compass orientation,21.7,180,24.0,302.0,64.0,no,169,-8,2023,11,8,13,11,1.0,nan,191.1,[13.089816608743186; 61.09119846785337; 47606.18652515152],13.089816608743186,11.099999999999994,191.1,nan
10a,sun compass orientation,23.9,200,32.0,302.0,64.0,no,189,-8,2023,11,8,13,14,1.0,nan,211.9,[13.089816173874818; 61.091198469050006; 47606.185993201485],13.089816173874818,11.900000000000006,211.9,nan
