,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF7-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 7,,,,,,,,,,,,,,,,,,,,,
site_lat,37.683649,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,237.503838,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,,1.4,138,36,304,60,no,172,-7,2023,6,1,12,45,1,,,,,,,
2a,,4.2,219,29,304,60,no,248,-7,2023,6,1,12,50,1,,,,,,,
3a,,6,250,20,304,60,no,275,-7,2023,6,1,12,53,1,,,,,,,
4a,,7.9,200,28,304,60,no,224,-7,2023,6,1,12,57,1,,,,,,,
5a,,9.3,189,42,304,60,no,213,-7,2023,6,1,12,59,1,,,,,,,
6a,,9.4,199,45,304,60,no,219,-7,2023,6,1,13,2,1,,,,,,,
