,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,MF8-,,,,,,,,,,,,,,,,,,,,,
site_name,Merced Formation 8,,,,,,,,,,,,,,,,,,,,,
site_lat,37.68515,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,237.503531,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,,0.3,134,44,304,60,no,,-7,2023,6,1,,,1,,,,,,,
2a,,0.8,121,42,304,60,no,,-7,2023,6,1,,,1,,,,,,,
3a,,0.6,125,63,304,60,no,,-7,2023,6,1,,,1,,,,,,,
5a,,1.5,103,41,304,60,no,,-7,2023,6,1,,,1,,,,,,,
6a,,1.4,122,33,304,60,no,,-7,2023,6,1,,,1,,,,,,,
7a,,1.45,138,35,304,60,no,,-7,2023,6,1,,,1,,,,,,,
8a,,2.9,187,52,304,60,no,,-7,2023,6,1,,,1,,,,,,,
9a,,5.5,166,54,304,60,no,,-7,2023,6,1,,,1,,,,,,,
10a,,6.4,119,60,304,60,no,,-7,2023,6,1,,,1,,,,,,,
11a,,14.6,131,52,304,60,no,,-7,2023,6,1,,,1,,,,,,,
12a,,16.2,150,50,304,60,no,,-7,2023,6,1,,,1,,,,,,,
13a,,16.5,105,68,304,60,no,,-7,2023,6,1,,,1,,,,,,,
14a,,16,183,64,304,60,no,,-7,2023,6,1,,,1,,,,,,,
15a,,16.3,166,42,304,60,no,,-7,2023,6,1,,,1,,,,,,,
16a,,18.5,210,42,304,60,no,,-7,2023,6,1,,,1,,,,,,,
17a,,19.4,207,30,304,60,no,,-7,2023,6,1,,,1,,,,,,,
18a,,20.3,204,48,304,60,no,,-7,2023,6,1,,,1,,,,,,,
19a,,25,148,35,304,60,no,,-7,2023,6,1,,,1,,,,,,,
20a,,25.6,215,47,304,60,no,,-7,2023,6,1,,,1,,,,,,,
21a,,26.9,177,40,304,60,no,,-7,2023,6,1,,,1,,,,,,,
22a,,28,206,35,304,60,no,,-7,2023,6,1,,,1,,,,,,,
23a,,29.3,188,42,304,60,no,,-7,2023,6,1,,,1,,,,,,,
24a,,31.2,173,52,304,60,no,129,-7,2023,6,1,14,52,1,,,,,,,
25a,,33.7,156,60,304,60,no,110,-7,2023,6,1,14,55,1,,,,,,,
27a,,38.9,151,61,304,60,no,104,-7,2023,6,1,14,59,1,,,,,,,
28a,,39.7,113,63,304,60,no,,-7,2023,6,1,,,1,,,,,,,
29a,,42.3,176,30,304,60,no,,-7,2023,6,1,,,1,,,,,,,
30a,,51.5,154,45,304,60,no,,-7,2023,6,1,,,1,,,,,,,
31a,,54.2,162,32,304,60,no,,-7,2023,6,1,,,1,,,,,,,
32a,,55.7,192,39,304,60,no,,-7,2023,6,1,,,1,,,,,,,
33a,,57.9,164,30,304,60,no,110,-7,2023,6,1,15,19,1,,,,,,,
34a,,61.2,151,32,304,60,no,,-7,2023,6,1,,,1,,,,,,,
35a,,63.2,197,24,304,60,no,,-7,2023,6,1,,,1,,,,,,,
36a,,65.3,125,27,304,60,no,,-7,2023,6,1,,,1,,,,,,,
37a,,66,222,50,304,60,no,155,-7,2023,6,1,16,19,1,,,,,,,
38a,,69.1,209,45,304,60,no,137,-7,2023,6,1,16,21,1,,,,,,,
39a,,71.3,203,53,304,60,no,,-7,2023,6,1,,,1,,,,,,,
40a,,71.4,128,33,304,60,no,58,-7,2023,6,1,16,28,1,,,,,,,
41a,,73.6,198,26,304,60,no,130,-7,2023,6,1,16,30,1,,,,,,,
41b,,73.6,198,26,304,60,no,130,-7,2023,6,1,16,30,1,,,,,,,
42a,,75.5,169,31,304,60,no,100,-7,2023,6,1,16,33,1,,,,,,,
43a,,78,224,49,304,60,no,155,-7,2023,6,1,16,36,1,,,,,,,
44a,,80.4,189,30,304,60,no,120,-7,2023,6,1,16,40,1,,,,,,,
45a,,83.5,173,48,304,60,no,103,-7,2023,6,1,16,42,1,,,,,,,
46a,,86.5,152,42,304,60,no,81,-7,2023,6,1,16,46,1,,,,,,,
47a,,87,266,30,304,60,no,188,-7,2023,6,1,16,52,1,,,,,,,
48a,,88,190,12,304,60,no,118,-7,2023,6,1,16,55,1,,,,,,,
49a,,88.6,279,41,304,60,no,204,-7,2023,6,1,16,58,1,,,,,,,
50a,,92.6,147,48,304,60,no,74,-7,2023,6,1,17,1,1,,,,,,,
51a,,95.3,137,40,304,60,no,62,-7,2023,6,1,17,3,1,,,,,,,
51b,,95.3,137,40,304,60,no,62,-7,2023,6,1,17,3,1,,,,,,,
52a,,97.5,187,40,304,60,no,113,-7,2023,6,1,17,6,1,,,,,,,
53a,,99.9,163,26,304,60,no,88,-7,2023,6,1,17,8,1,,,,,,,
53b,,99.9,163,26,304,60,no,88,-7,2023,6,1,17,8,1,,,,,,,
54a,,102.5,162,20,304,60,no,87,-7,2023,6,1,17,10,1,,,,,,,
55a,,103.6,159,36,304,60,no,83,-7,2023,6,1,17,14,1,,,,,,,
56a,,106.6,143,25,304,60,no,64,-7,2023,6,1,17,22,1,,,,,,,
57a,,109,262,29,304,60,no,189,-7,2023,6,1,17,24,1,,,,,,,
58a,,111.7,234,28,304,60,no,156,-7,2023,6,1,17,27,1,,,,,,,
59a,,118.4,212,25,304,60,no,134,-7,2023,6,1,17,29,1,,,,,,,
60a,,121.3,150,39,304,60,no,70,-7,2023,6,1,17,31,1,,,,,,,
61a,,122.7,180,38,304,60,no,102,-7,2023,6,1,17,35,1,,,,,,,
62a,,124.7,193,46,304,60,no,115,-7,2023,6,1,17,36,1,,,,,,,
63a,,124.2,138,36,304,60,no,57,-7,2023,6,1,17,38,1,,,,,,,
64a,,127.3,197,36,304,60,no,120,-7,2023,6,1,17,41,1,,,,,,,
65a,,129.2,182,31,304,60,no,102,-7,2023,6,1,17,43,1,,,,,,,
66a,,153.7,172,26,304,60,no,92,-7,2023,6,1,17,47,1,,,,,,,
67a,,154.9,182,37,304,60,no,102,-7,2023,6,1,17,49,1,,,,,,,
68a,,162.3,162,29,304,60,no,81,-7,2023,6,1,17,53,1,,,,,,,
68b,,162.3,162,29,304,60,no,81,-7,2023,6,1,17,53,1,,,,,,,
69a,,18.8,87,49,304,60,no,101,-8,2024,3,8,12,18,1,,,,,,,
70a,,18.88,78,41,304,60,no,90,-8,2024,3,8,12,21,1,,,,,,,
71a,,19.08,57,49,304,60,no,69,-8,2024,3,8,12,24,1,,,,,,,
72a,,19.31,96,47,304,60,no,106,-8,2024,3,8,12,27,1,,,,,,,
73a,,19.48,73,48,304,60,no,82,-8,2024,3,8,12,30,1,,,,,,,
74a,,19.91,84,52,304,60,no,87,-8,2024,3,8,12,34,1,,,,,,,
75a,,20.01,101,63,304,60,no,107,-8,2024,3,8,12,37,1,,,,,,,
76a,,20.4,90,57,304,60,no,95,-8,2024,3,8,12,39,1,,,,,,,
77a,,20.53,78,51,304,60,no,83,-8,2024,3,8,12,42,1,,,,,,,
78a,,20.53,92,56,304,60,no,96,-8,2024,3,8,12,44,1,,,,,,,
69b,,18.8,87,49,304,60,no,101,-8,2024,3,8,12,18,1,,,,,,,
70b,,18.88,78,41,304,60,no,90,-8,2024,3,8,12,21,1,,,,,,,
71b,,19.08,57,49,304,60,no,69,-8,2024,3,8,12,24,1,,,,,,,
72b,,19.31,96,47,304,60,no,106,-8,2024,3,8,12,27,1,,,,,,,
73b,,19.48,73,48,304,60,no,82,-8,2024,3,8,12,30,1,,,,,,,
74b,,19.91,84,52,304,60,no,87,-8,2024,3,8,12,34,1,,,,,,,
75b,,20.01,101,63,304,60,no,107,-8,2024,3,8,12,37,1,,,,,,,
76b,,20.4,90,57,304,60,no,95,-8,2024,3,8,12,39,1,,,,,,,
77b,,20.53,78,51,304,60,no,83,-8,2024,3,8,12,42,1,,,,,,,
78b,,20.53,92,56,304,60,no,96,-8,2024,3,8,12,44,1,,,,,,,
