tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
MF2-1	MF2	0					   56.3	    0.0	   46.0	  403.0	  -46.0	This study	SO-CMD-NORTH
MF2-2	MF2	0					   56.1	    0.0	   46.0	  403.0	  -58.0	This study	SO-CMD-NORTH
MF2-3	MF2	0					   51.7	    0.0	   46.0	  403.0	  -49.0	This study	SO-CMD-NORTH
MF2-4	MF2	0					   62.2	    0.0	   46.0	  403.0	  -66.0	This study	SO-CMD-NORTH
MF2-5	MF2	0					   53.0	    0.0	   46.0	  403.0	  -51.0	This study	SO-CMD-NORTH
MF2-6	MF2	0					   43.7	    0.0	   46.0	  403.0	  -60.0	This study	SO-CMD-NORTH
MF3-1	MF3	0					   65.5	    0.0	   49.0	  416.0	  -36.0	This study	SO-CMD-NORTH
MF3-2	MF3	0					   58.8	    0.0	   49.0	  416.0	  -57.0	This study	SO-CMD-NORTH
MF3-3	MF3	0					   85.7	    0.0	   49.0	  416.0	  -26.0	This study	SO-CMD-NORTH
MF3-4	MF3	0					  160.1	    0.0	   49.0	  416.0	  -64.0	This study	SO-CMD-NORTH
MF4-2	MF4	0					   99.5	    0.0	   51.0	  407.0	  -49.0	This study	SO-CMD-NORTH
MF4-3	MF4	0					  108.2	    0.0	   51.0	  407.0	  -49.0	This study	SO-CMD-NORTH
MF4-4	MF4	0					   91.4	    0.0	   51.0	  407.0	  -48.0	This study	SO-CMD-NORTH
MF4-5	MF4	0					   84.6	    0.0	   51.0	  407.0	  -47.0	This study	SO-CMD-NORTH
MF4-6	MF4	0					  106.8	    0.0	   51.0	  407.0	  -37.0	This study	SO-CMD-NORTH
MF5-1	MF5	0					  139.4	    0.0	   60.0	  408.0	  -24.0	This study	SO-CMD-NORTH
MF5-2	MF5	0					  125.5	    0.0	   60.0	  408.0	  -34.0	This study	SO-CMD-NORTH
MF5-3	MF5	0					  133.6	    0.0	   60.0	  408.0	  -23.0	This study	SO-CMD-NORTH
MF5-4	MF5	0					  188.7	    0.0	   60.0	  408.0	  -43.0	This study	SO-CMD-NORTH
MF5-5	MF5	0					  149.4	    0.0	   60.0	  408.0	  -49.0	This study	SO-CMD-NORTH
MF5-6	MF5	0					  100.4	    0.0	   60.0	  408.0	  -70.0	This study	SO-CMD-NORTH
MF5-7	MF5	0					   90.1	    0.0	   60.0	  408.0	  -55.0	This study	SO-CMD-NORTH
MF6-1	MF6	0					   74.0	    0.0	   58.0	  398.0	  -25.0	This study	SO-CMD-NORTH
MF6-2	MF6	0					  110.8	    0.0	   58.0	  398.0	  -29.0	This study	SO-CMD-NORTH
MF6-3	MF6	0					  107.3	    0.0	   58.0	  398.0	  -28.0	This study	SO-CMD-NORTH
MF6-4	MF6	0					  177.1	    0.0	   58.0	  398.0	  -27.0	This study	SO-CMD-NORTH
MF6-5	MF6	0					  128.9	    0.0	   58.0	  398.0	  -36.0	This study	SO-CMD-NORTH
MF6-6	MF6	0					  272.1	    0.0	   58.0	  398.0	  -40.0	This study	SO-CMD-NORTH
