tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
MF2-1a	MF2-1		This study	LP-NOMAG		
MF2-2a	MF2-2		This study	LP-NOMAG		
MF2-3a	MF2-3		This study	LP-NOMAG		
MF2-4a	MF2-4		This study	LP-NOMAG		
MF2-5a	MF2-5		This study	LP-NOMAG		
MF2-6a	MF2-6		This study	LP-NOMAG		
MF3-1a	MF3-1		This study	LP-NOMAG		
MF3-2a	MF3-2		This study	LP-NOMAG		
MF3-3a	MF3-3		This study	LP-NOMAG		
MF3-4a	MF3-4		This study	LP-NOMAG		
MF4-2a	MF4-2		This study	LP-NOMAG		
MF4-3a	MF4-3		This study	LP-NOMAG		
MF4-4a	MF4-4		This study	LP-NOMAG		
MF4-5a	MF4-5		This study	LP-NOMAG		
MF4-6a	MF4-6		This study	LP-NOMAG		
MF5-1a	MF5-1		This study	LP-NOMAG		
MF5-2a	MF5-2		This study	LP-NOMAG		
MF5-3a	MF5-3		This study	LP-NOMAG		
MF5-4a	MF5-4		This study	LP-NOMAG		
MF5-5a	MF5-5		This study	LP-NOMAG		
MF5-6a	MF5-6		This study	LP-NOMAG		
MF5-7a	MF5-7		This study	LP-NOMAG		
MF6-1a	MF6-1		This study	LP-NOMAG		
MF6-2a	MF6-2		This study	LP-NOMAG		
MF6-3a	MF6-3		This study	LP-NOMAG		
MF6-4a	MF6-4		This study	LP-NOMAG		
MF6-5a	MF6-5		This study	LP-NOMAG		
MF6-6a	MF6-6		This study	LP-NOMAG		
MF7-1a	MF7-1		This study	LP-NOMAG		
MF7-2a	MF7-2		This study	LP-NOMAG		
MF7-3a	MF7-3		This study	LP-NOMAG		
MF7-4a	MF7-4		This study	LP-NOMAG		
MF7-5a	MF7-5		This study	LP-NOMAG		
MF7-6a	MF7-6		This study	LP-NOMAG		
MF8-1a	MF8-1		This study	LP-NOMAG		
MF8-2a	MF8-2		This study	LP-NOMAG		
MF8-3a	MF8-3		This study	LP-NOMAG		
MF8-5a	MF8-5		This study	LP-NOMAG		
MF8-6a	MF8-6		This study	LP-NOMAG		
MF8-7a	MF8-7		This study	LP-NOMAG		
MF8-8a	MF8-8		This study	LP-NOMAG		
MF8-9a	MF8-9		This study	LP-NOMAG		
MF8-10a	MF8-10		This study	LP-NOMAG		
MF8-11a	MF8-11		This study	LP-NOMAG		
MF8-12a	MF8-12		This study	LP-NOMAG		
MF8-13a	MF8-13		This study	LP-NOMAG		
MF8-14a	MF8-14		This study	LP-NOMAG		
MF8-15a	MF8-15		This study	LP-NOMAG		
MF8-16a	MF8-16		This study	LP-NOMAG		
MF8-17a	MF8-17		This study	LP-NOMAG		
MF8-18a	MF8-18		This study	LP-NOMAG		
MF8-19a	MF8-19		This study	LP-NOMAG		
MF8-20a	MF8-20		This study	LP-NOMAG		
MF8-21a	MF8-21		This study	LP-NOMAG		
MF8-22a	MF8-22		This study	LP-NOMAG		
MF8-23a	MF8-23		This study	LP-NOMAG		
MF8-24a	MF8-24		This study	LP-NOMAG		
MF8-25a	MF8-25		This study	LP-NOMAG		
MF8-27a	MF8-27		This study	LP-NOMAG		
MF8-28a	MF8-28		This study	LP-NOMAG		
MF8-29a	MF8-29		This study	LP-NOMAG		
MF8-30a	MF8-30		This study	LP-NOMAG		
MF8-31a	MF8-31		This study	LP-NOMAG		
MF8-32a	MF8-32		This study	LP-NOMAG		
MF8-33a	MF8-33		This study	LP-NOMAG		
MF8-34a	MF8-34		This study	LP-NOMAG		
MF8-35a	MF8-35		This study	LP-NOMAG		
MF8-36a	MF8-36		This study	LP-NOMAG		
MF8-37a	MF8-37		This study	LP-NOMAG		
MF8-38a	MF8-38		This study	LP-NOMAG		
MF8-39a	MF8-39		This study	LP-NOMAG		
MF8-40a	MF8-40		This study	LP-NOMAG		
MF8-41a	MF8-41		This study	LP-NOMAG		
MF8-42a	MF8-42		This study	LP-NOMAG		
MF8-43a	MF8-43		This study	LP-NOMAG		
MF8-44a	MF8-44		This study	LP-NOMAG		
MF8-45a	MF8-45		This study	LP-NOMAG		
MF8-46a	MF8-46		This study	LP-NOMAG		
MF8-47a	MF8-47		This study	LP-NOMAG		
MF8-48a	MF8-48		This study	LP-NOMAG		
MF8-49a	MF8-49		This study	LP-NOMAG		
MF8-50a	MF8-50		This study	LP-NOMAG		
MF8-51a	MF8-51		This study	LP-NOMAG		
MF8-52a	MF8-52		This study	LP-NOMAG		
MF8-53a	MF8-53		This study	LP-NOMAG		
MF8-54a	MF8-54		This study	LP-NOMAG		
MF8-55a	MF8-55		This study	LP-NOMAG		
MF8-56a	MF8-56		This study	LP-NOMAG		
MF8-57a	MF8-57		This study	LP-NOMAG		
MF8-58a	MF8-58		This study	LP-NOMAG		
MF8-59a	MF8-59		This study	LP-NOMAG		
MF8-60a	MF8-60		This study	LP-NOMAG		
MF8-61a	MF8-61		This study	LP-NOMAG		
MF8-62a	MF8-62		This study	LP-NOMAG		
MF8-63a	MF8-63		This study	LP-NOMAG		
MF8-64a	MF8-64		This study	LP-NOMAG		
MF8-65a	MF8-65		This study	LP-NOMAG		
MF8-66a	MF8-66		This study	LP-NOMAG		
MF8-67a	MF8-67		This study	LP-NOMAG		
MF8-68a	MF8-68		This study	LP-NOMAG		
MF8-69a	MF8-69		This study	LP-NOMAG		
MF8-70a	MF8-70		This study	LP-NOMAG		
MF8-71a	MF8-71		This study	LP-NOMAG		
MF8-72a	MF8-72		This study	LP-NOMAG		
MF8-73a	MF8-73		This study	LP-NOMAG		
MF8-75a	MF8-75		This study	LP-NOMAG		
MF8-76a	MF8-76		This study	LP-NOMAG		
MF8-77a	MF8-77		This study	LP-NOMAG		
MF8-78a	MF8-78		This study	LP-NOMAG		
MF9-1a	MF9-1		This study	LP-NOMAG		
MF9-2a	MF9-2		This study	LP-NOMAG		
MF9-3a	MF9-3		This study	LP-NOMAG		
MF9-4a	MF9-4		This study	LP-NOMAG		
MF9-5a	MF9-5		This study	LP-NOMAG		
MF9-6a	MF9-6		This study	LP-NOMAG		
MF9-7a	MF9-7		This study	LP-NOMAG		
MF9-8a	MF9-8		This study	LP-NOMAG		
MF10-1a	MF10-1		This study	LP-NOMAG		
MF10-2a	MF10-2		This study	LP-NOMAG		
MF10-3a	MF10-3		This study	LP-NOMAG		
MF10-4a	MF10-4		This study	LP-NOMAG		
MF11-1a	MF11-1		This study	LP-NOMAG		
MF11-2a	MF11-2		This study	LP-NOMAG		
MF11-3a	MF11-3		This study	LP-NOMAG		
MF11-4a	MF11-4		This study	LP-NOMAG		
MF11-5a	MF11-5		This study	LP-NOMAG		
MF12-1a	MF12-1		This study	LP-NOMAG		
MF12-2a	MF12-2		This study	LP-NOMAG		
MF12-3a	MF12-3		This study	LP-NOMAG		
MF12-4a	MF12-4		This study	LP-NOMAG		
MF12-5a	MF12-5		This study	LP-NOMAG		
MF12-6a	MF12-6		This study	LP-NOMAG		
MF12-7a	MF12-7		This study	LP-NOMAG		
MF12-8a	MF12-8		This study	LP-NOMAG		
MF12-9a	MF12-9		This study	LP-NOMAG		
MF12-10a	MF12-10		This study	LP-NOMAG		
MF12-11a	MF12-11		This study	LP-NOMAG		
MF12-12a	MF12-12		This study	LP-NOMAG		
MF12-13a	MF12-13		This study	LP-NOMAG		
MF13-1a	MF13-1		This study	LP-NOMAG		
MF13-2a	MF13-2		This study	LP-NOMAG		
MF13-3a	MF13-3		This study	LP-NOMAG		
MF13-4a	MF13-4		This study	LP-NOMAG		
MF13-5a	MF13-5		This study	LP-NOMAG		
MF13-6a	MF13-6		This study	LP-NOMAG		
MF13-7a	MF13-7		This study	LP-NOMAG		
MF13-8a	MF13-8		This study	LP-NOMAG		
MF13-9a	MF13-9		This study	LP-NOMAG		
MF13-10a	MF13-10		This study	LP-NOMAG		
MF14-1a	MF14-1		This study	LP-NOMAG		
MF14-2a	MF14-2		This study	LP-NOMAG		
MF14-3a	MF14-3		This study	LP-NOMAG		
MF14-4a	MF14-4		This study	LP-NOMAG		
MF15-1a	MF15-1		This study	LP-NOMAG		
MF15-2a	MF15-2		This study	LP-NOMAG		
MF15-3a	MF15-3		This study	LP-NOMAG		
MF16-1a	MF16-1		This study	LP-NOMAG		
MF16-2a	MF16-2		This study	LP-NOMAG		
MF16-3a	MF16-3		This study	LP-NOMAG		
MF16-4a	MF16-4		This study	LP-NOMAG		
