tab	sites											
age_high	age_low	age_unit	citations	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	site
773	598	ka	This study	Sedimentary	Sediment Layer	1465.08	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF2-1
773	598	ka	This study	Sedimentary	Sediment Layer	1465.25	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF2-2
773	598	ka	This study	Sedimentary	Sediment Layer	1465.7	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF2-3
773	598	ka	This study	Sedimentary	Sediment Layer	1467	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF2-4
773	598	ka	This study	Sedimentary	Sediment Layer	1467.05	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF2-5
773	598	ka	This study	Sedimentary	Sediment Layer	1467.22	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF2-6
773	598	ka	This study	Sedimentary	Sediment Layer	1407	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF3-1
773	598	ka	This study	Sedimentary	Sediment Layer	1407.2	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF3-2
773	598	ka	This study	Sedimentary	Sediment Layer	1407.4	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF3-3
773	598	ka	This study	Sedimentary	Sediment Layer	1411.4	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF3-4
773	598	ka	This study	Sedimentary	Sediment Layer	1360.55	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF4-2
773	598	ka	This study	Sedimentary	Sediment Layer	1360.63	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF4-3
773	598	ka	This study	Sedimentary	Sediment Layer	1361.1	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF4-4
773	598	ka	This study	Sedimentary	Sediment Layer	1362.3	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF4-5
773	598	ka	This study	Sedimentary	Sediment Layer	1362.4	37.7	Sandstone	Thornton Beach	-122.5	LP-DIR-AF	MF4-6
