tab	specimens					
citations	geologic_classes	geologic_types	lithologies	method_codes	sample	specimen
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF2-1	MF2-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF2-2	MF2-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF2-3	MF2-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF2-4	MF2-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF2-5	MF2-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF2-6	MF2-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF3-1	MF3-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF3-2	MF3-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF3-3	MF3-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF3-4	MF3-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF4-2	MF4-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF4-3	MF4-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF4-4	MF4-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF4-5	MF4-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF4-6	MF4-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF5-1	MF5-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF5-2	MF5-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF5-3	MF5-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF5-4	MF5-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF5-5	MF5-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF5-6	MF5-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF5-7	MF5-7a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF6-1	MF6-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF6-2	MF6-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF6-3	MF6-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF6-4	MF6-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF6-5	MF6-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF6-6	MF6-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF7-1	MF7-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF7-2	MF7-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF7-3	MF7-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF7-4	MF7-4a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF7-5	MF7-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF7-6	MF7-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-1	MF8-1a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-2	MF8-2a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-3	MF8-3a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-5	MF8-5a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-6	MF8-6a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-7	MF8-7a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-8	MF8-8a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-9	MF8-9a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-10	MF8-10a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-11	MF8-11a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-12	MF8-12a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-13	MF8-13a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-14	MF8-14a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-15	MF8-15a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-16	MF8-16a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-17	MF8-17a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-18	MF8-18a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-19	MF8-19a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-20	MF8-20a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-21	MF8-21a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-22	MF8-22a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-23	MF8-23a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-24	MF8-24a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-25	MF8-25a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-27	MF8-27a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-28	MF8-28a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-29	MF8-29a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-30	MF8-30a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-31	MF8-31a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-32	MF8-32a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-33	MF8-33a
This study	Sedimentary	Sediment Layer	Sandstone	LP-NOMAG	MF8-34	MF8-34a
