thickness,facies
30,shelf
8,nearshore
17,backshore
5,embayment
1,shelf
7,cover
62,shelf
5,nearshore
55,shelf
5,nearshore
10,backshore
10,embayment
100,shelf
5,nearshore
5,backshore
16,embayment
109,shelf
10,nearshore
5,shelf
5,nearshore
8,backshore
20,embayment
75,shelf
8,nearshore
9,shelf
5,nearshore
10,shelf
4,nearshore
11,backshore
9,embayment
51,shelf
8,nearshore
2,foreshore
30,backshore
12,embayment
18,shelf
10,cover
3,shelf
7,cover
30,shelf
10,nearshore
5,cover
10,backshore
10,cover
45,shelf
8,nearshore
17,backshore
10,embayment
8,nearshore
170,shelf
12,nearshore
3,foreshore
32,backshore
10,embayment
40,shelf
10,nearshore
75,shelf
8,nearshore
7,foreshore
20,backshore
20,shelf
11,nearshore
19,shelf
4,shelf
5,nearshore
1,foreshore
5,backshore
10,shelf
10,nearshore
15,shelf
25,shelf
5,nearshore
5,foreshore
7,backshore
8,nearshore
24,embayment
17,backshore
39,embayment
20,aeolian dunes
10,alluvial
5,embayment
5,backshore
5,foreshore
5,backshore
6,pond/marsh
45,aeolian dunes
8,nearshore
6,foreshore
6,backshore
8,alluvial
16,embayment
5,shelf
10,nearshore
4,foreshore
24,aeolian dunes
5,nearshore
6,foreshore
6,backshore
5,backshore
